title,url,date,date_parsed,event_type,score,reasons
PM Yair Lapid's Remarks before Departing on a Diplomatic Visit to Paris,https://www.gov.il/en/pages/event_paris050722,2022-07-05,2022-07-05,no_netanyahu,-100,no Netanyahu mention
PM Lapid Updated on Highland Park Shooting,https://www.gov.il/en/pages/spoke_consul040722,2022-07-04,2022-07-04,no_netanyahu,-100,no Netanyahu mention
Statement by PM Lapid on the Investigation into the Death of Journalist Shireen Abu Akleh,https://www.gov.il/en/pages/spoke_shireen040722,2022-07-04,2022-07-04,no_netanyahu,-100,no Netanyahu mention
PM Lapid Meets with US Special Envoy to Monitor and Combat Antisemitism Ambassador Deborah Lipstadt,https://www.gov.il/en/pages/event_antisemitis040722,2022-07-04,2022-07-04,no_netanyahu,-100,no Netanyahu mention
PM Lapid and Health Minister Nitzan Horowitz Hold Assessment on the Coronavirus and the Current Wave of Morbidity,https://www.gov.il/en/pages/spoke_corona030722,2022-07-03,2022-07-03,no_netanyahu,-100,no Netanyahu mention
Foreign Ministry Spokesperson Lior Haiat to Replace Elad Tene as Head of the Public Diplomacy Directorate,https://www.gov.il/en/pages/spoke_appointment030722,2022-07-03,2022-07-03,no_netanyahu,-100,no Netanyahu mention
PM Lapid's Remarks at the Start of the Weekly Cabinet Meeting,https://www.gov.il/en/pages/spoke_start030722,2022-07-03,2022-07-03,no_netanyahu,-100,no Netanyahu mention
Statement by PM Lapid,https://www.gov.il/en/pages/event_statement020722,2022-07-02,2022-07-02,no_netanyahu,-100,no Netanyahu mention
PM Yair Lapid Holds Working Meeting with ISA Director Ronen Bar,https://www.gov.il/en/pages/event_bar010722,2022-07-01,2022-07-01,no_netanyahu,-100,no Netanyahu mention
Outgoing PM Bennett and Incoming PM Lapid hold Handover Ceremony,https://www.gov.il/en/pages/event_bennett_lapid300622,2022-06-30,2022-06-30,no_netanyahu,-100,no Netanyahu mention
PM Bennett Holds Security Assessments with the Mossad and the ISA,https://www.gov.il/en/pages/event_assessment280622,2022-06-28,2022-06-28,no_netanyahu,-100,no Netanyahu mention
PM Bennett on the Lowering of the Travel Warning for Istanbul back to Level 3,https://www.gov.il/en/pages/spoke_pm_level3_280622,2022-06-28,2022-06-28,no_netanyahu,-100,no Netanyahu mention
National Security Council Counter-Terrorism Division: Travel Warning for Istanbul Lowered to Level 3,https://www.gov.il/en/pages/spoke_level3_280622,2022-06-28,2022-06-28,no_netanyahu,-100,no Netanyahu mention
Joint Statement by PM Bennett and Transport Minister Merav Michaeli,https://www.gov.il/en/pages/spoke_joint260622,2022-06-26,2022-06-26,no_netanyahu,-100,no Netanyahu mention
PM Naftali Bennett's remarks at the start of the weekly Cabinet meeting,https://www.gov.il/en/pages/spoke_start260622,2022-06-26,2022-06-26,no_netanyahu,-100,no Netanyahu mention
Excerpt from PM Bennett's Remarks at the IDF Pilots' Course Graduation Ceremony,https://www.gov.il/en/pages/event_airforce230622,2022-06-23,2022-06-23,no_netanyahu,-100,no Netanyahu mention
PM Bennett Holds Security Assessment at IDF Gaza Division HQ,https://www.gov.il/en/pages/event_gaza220622,2022-06-22,2022-06-22,no_netanyahu,-100,no Netanyahu mention
PM Bennett speaks with US Secretary of State Antony Blinken,https://www.gov.il/en/pages/spoke_blinken220622,2022-06-22,2022-06-22,no_netanyahu,-100,no Netanyahu mention
PM Naftali Bennett Instructs NSC Director Hulata & Military Secretary Maj-Gen. Gil to Prepare Transition Plan,https://www.gov.il/en/pages/spoke_transition210622,2022-06-21,2022-06-21,no_netanyahu,-100,no Netanyahu mention
