date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators
2022-02-02 16:00,1643846400,Washington Wizards @ Philadelphia 76ers,Philadelphia 76ers,Washington Wizards,NBA Regular Season,NBC Sports Philadelphia,1188,https://basketball.icdb.tv/match/1188,Kate Scott,Alaa Abdelnaby,"Alaa Abdelnaby, Drew Gooden","Jim Lynam, Marc Jackson, Glenn Consor, Chris Miller","Amy Fadool, Wes Hall",,"Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit), Wes Hall (Presenter), Justin Kutcher (Main Commentator), Drew Gooden (Co-commentator), Glenn Consor (Pundit), Chris Miller (Pundit)"
2022-01-31 16:00,1643673600,Memphis Grizzlies @ Philadelphia 76ers,Philadelphia 76ers,Memphis Grizzlies,NBA Regular Season,NBC Sports Philadelphia,1144,https://basketball.icdb.tv/match/1144,Pete Pranica,Brevin Knight,"Brevin Knight, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,,"Pete Pranica (Main Commentator), Brevin Knight (Co-commentator), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-01-29 16:30,1643502600,Sacramento Kings @ Philadelphia 76ers,Philadelphia 76ers,Sacramento Kings,NBA Regular Season,NBC Sports Philadelphia,1125,https://basketball.icdb.tv/match/1125,Mark Jones,Kayte Christensen-Hunter,"Kayte Christensen-Hunter, Alaa Abdelnaby","Kenny Thomas, Jim Lynam, Marc Jackson","Kyle Draper, Amy Fadool",,"Kyle Draper (Presenter), Mark Jones (Main Commentator), Kayte Christensen-Hunter (Co-commentator), Kenny Thomas (Pundit), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-01-25 16:00,1643155200,New Orleans Pelicans @ Philadelphia 76ers,Philadelphia 76ers,New Orleans Pelicans,NBA Regular Season,NBC Sports Philadelphia,1066,https://basketball.icdb.tv/match/1066,Joel Meyers,Antonio Daniels,"Antonio Daniels, Alaa Abdelnaby","David Wesley, Jim Lynam, Marc Jackson","Erin Hartigan, Amy Fadool",,"Erin Hartigan (Presenter), Joel Meyers (Main Commentator), Antonio Daniels (Co-commentator), David Wesley (Pundit), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-01-23 16:00,1642982400,Philadelphia 76ers @ San Antonio Spurs,San Antonio Spurs,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,1059,https://basketball.icdb.tv/match/1059,Bill Land,Sean Elliott,"Sean Elliott, Alaa Abdelnaby",,Dan Weiss,,"Dan Weiss (Presenter), Bill Land (Main Commentator), Sean Elliott (Co-commentator), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator)"
2022-01-21 16:00,1642809600,Los Angeles Clippers @ Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,NBA Regular Season,NBC Sports Philadelphia,1030,https://basketball.icdb.tv/match/1030,Brian Sieman,Jim Jackson,"Jim Jackson, Alaa Abdelnaby","Don MacLean, Jim Lynam, Marc Jackson","Jeanne Zelasko, Amy Fadool",Jaime Maggio,"Jeanne Zelasko (Presenter), Brian Sieman (Main Commentator), Jim Jackson (Co-commentator), Don MacLean (Pundit), Jaime Maggio (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-01-19 16:00,1642636800,Orlando Magic @ Philadelphia 76ers,Philadelphia 76ers,Orlando Magic,NBA Regular Season,NBC Sports Philadelphia,1002,https://basketball.icdb.tv/match/1002,David Steele,Jeff Turner,"Jeff Turner, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,,"David Steele (Main Commentator), Jeff Turner (Co-commentator), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-01-17 11:00,1642446000,Philadelphia 76ers @ Washington Wizards,Washington Wizards,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,968,https://basketball.icdb.tv/match/968,Kate Scott,Alaa Abdelnaby,"Alaa Abdelnaby, Drew Gooden","Jim Lynam, Marc Jackson, Tony Massenburg","Amy Fadool, Wes Hall",Chris Miller,"Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit), Wes Hall (Presenter), Justin Kutcher (Main Commentator), Drew Gooden (Co-commentator), Tony Massenburg (Pundit), Chris Miller (Reporter)"
2022-01-15 17:00,1642294800,Philadelphia 76ers @ Miami Heat,Miami Heat,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia Plus,951,https://basketball.icdb.tv/match/951,Eric Reid,John Crotty,"John Crotty, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,Will Manso,"Eric Reid (Main Commentator), John Crotty (Co-commentator), Will Manso (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-01-14 16:30,1642206600,Boston Celtics @ Philadelphia 76ers,Philadelphia 76ers,Boston Celtics,NBA Regular Season,NBC Sports Philadelphia,941,https://basketball.icdb.tv/match/941,Mike Gorman,Brian Scalabrine,"Brian Scalabrine, Alaa Abdelnaby","Chris Forsberg, Jim Lynam, Marc Jackson","Amina Smith, Amy Fadool",,"Amina Smith (Presenter), Mike Gorman (Main Commentator), Brian Scalabrine (Co-commentator), Chris Forsberg (Pundit), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-01-12 16:00,1642032000,Charlotte Hornets @ Philadelphia 76ers,Philadelphia 76ers,Charlotte Hornets,NBA Regular Season,NBC Sports Philadelphia,959,https://basketball.icdb.tv/match/959,Eric Collins,Dell Curry,"Dell Curry, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,Ashley ShahAhmadi,"Eric Collins (Main Commentator), Dell Curry (Co-commentator), Ashley ShahAhmadi (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-01-10 17:00,1641862800,Philadelphia 76ers @ Houston Rockets,Houston Rockets,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia Plus,900,https://basketball.icdb.tv/match/900,Craig Ackerman,Ryan Hollins,"Ryan Hollins, Alaa Abdelnaby","Calvin Murphy, Jim Lynam, Marc Jackson","Julia Morales, Amy Fadool",Cayleigh Griffin,"Julia Morales (Presenter), Craig Ackerman (Main Commentator), Ryan Hollins (Co-commentator), Calvin Murphy (Pundit), Cayleigh Griffin (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
