date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators,matchup,status,audio_file,channels
2022-05-12 18:30,1652405400.0,Phoenix Suns @ Dallas Mavericks,Dallas Mavericks,Phoenix Suns,NBA Regular Season,"ESPN (US), ESPN App (US)",1886.0,https://basketball.icdb.tv/match/1886,Mark Jones,JJ Redick,JJ Redick,,,Cassidy Hubbarth,"Mark Jones (Main Commentator), JJ Redick (Co-commentator), Cassidy Hubbarth (Reporter)",Phoenix Suns @ Dallas Mavericks,pending,,
2022-05-08 12:30,1652038200.0,Phoenix Suns @ Dallas Mavericks,Dallas Mavericks,Phoenix Suns,NBA Regular Season,"ESPN (US), ESPN App (US)",1871.0,https://basketball.icdb.tv/match/1871,Mark Jones,Richard Jefferson,"Richard Jefferson, P.J. Carlesimo",,,Cassidy Hubbarth,"Mark Jones (Main Commentator), Richard Jefferson (Co-commentator), Cassidy Hubbarth (Reporter), Marc Kestecher (Main Commentator), P.J. Carlesimo (Co-commentator)",Phoenix Suns @ Dallas Mavericks,pending,,
2022-05-06 18:30,1651887000.0,Phoenix Suns @ Dallas Mavericks,Dallas Mavericks,Phoenix Suns,NBA Regular Season,"ESPN (US), ESPN App (US)",1868.0,https://basketball.icdb.tv/match/1868,Mark Jones,Richard Jefferson,Richard Jefferson,,,Cassidy Hubbarth,"Mark Jones (Main Commentator), Richard Jefferson (Co-commentator), Cassidy Hubbarth (Reporter)",Phoenix Suns @ Dallas Mavericks,pending,,
2022-05-01 10:00,1651424400.0,Milwaukee Bucks @ Boston Celtics,Boston Celtics,Milwaukee Bucks,NBA Regular Season,"ABC (usa), ESPN App (US), Sky Sports Arena UK HD",1854.0,https://basketball.icdb.tv/match/1854,Mark Jones,Doris Burke,"Doris Burke, Ros Gold-Onwude",,,Jorge Sedano,"Mark Jones (Main Commentator), Doris Burke (Co-commentator), Jorge Sedano (Reporter), Sean Kelley (Main Commentator), Ros Gold-Onwude (Co-commentator)",Milwaukee Bucks @ Boston Celtics,pending,,
2022-04-24 12:30,1650828600.0,Golden State Warriors @ Denver Nuggets,Denver Nuggets,Golden State Warriors,NBA Regular Season,"ABC (usa), Sky Sports Action UK HD",1820.0,https://basketball.icdb.tv/match/1820,Mark Jones,Doris Burke,"Doris Burke, Ros Gold-Onwude",,,Cassidy Hubbarth,"Mark Jones (Main Commentator), Doris Burke (Co-commentator), Cassidy Hubbarth (Reporter), Sean Kelley (Main Commentator), Ros Gold-Onwude (Co-commentator)",Golden State Warriors @ Denver Nuggets,pending,,
2022-04-22 18:30,1650677400.0,Phoenix Suns @ New Orleans Pelicans,New Orleans Pelicans,Phoenix Suns,NBA Regular Season,"ESPN (US), ESPN App (US)",1813.0,https://basketball.icdb.tv/match/1813,Kevin Ray,Eddie A. Johnson,"Eddie A. Johnson, Antonio Daniels, Doris Burke",David Wesley,Erin Hartigan,"Jennifer Hale, Cassidy Hubbarth","Kevin Ray (Main Commentator), Eddie A. Johnson (Co-commentator), Erin Hartigan (Presenter), Joel Meyers (Main Commentator), Antonio Daniels (Co-commentator), David Wesley (Pundit), Jennifer Hale (Reporter), Mark Jones (Main Commentator), Doris Burke (Co-commentator), Cassidy Hubbarth (Reporter)",Phoenix Suns @ New Orleans Pelicans,pending,,
2022-04-16 17:30,1650155400.0,Denver Nuggets @ Golden State Warriors,Golden State Warriors,Denver Nuggets,NBA Regular Season,"ABC (usa), ESPN App (US)",1778.0,https://basketball.icdb.tv/match/1778,Mark Jones,Doris Burke,"Doris Burke, Matt Barnes",,,Malika Andrews,"Mark Jones (Main Commentator), Doris Burke (Co-commentator), Malika Andrews (Reporter), Sean Kelley (Main Commentator), Matt Barnes (Co-commentator)",Denver Nuggets @ Golden State Warriors,pending,,
2022-04-13 18:30,1649899800.0,San Antonio Spurs @ New Orleans Pelicans,New Orleans Pelicans,San Antonio Spurs,NBA Regular Season,"ESPN (US), ESPN App (US)",1770.0,https://basketball.icdb.tv/match/1770,Mark Jones,Doris Burke,"Doris Burke, Kelenna Azubuike",,,Cassidy Hubbarth,"Mark Jones (Main Commentator), Doris Burke (Co-commentator), Cassidy Hubbarth (Reporter), Steve Javie (Former Official), Sean Kelley (Main Commentator), Kelenna Azubuike (Co-commentator)",San Antonio Spurs @ New Orleans Pelicans,pending,,
2022-04-10 12:30,1649619000.0,Indiana Pacers @ Brooklyn Nets,Brooklyn Nets,Indiana Pacers,NBA Regular Season,ESPN (US),1764.0,https://basketball.icdb.tv/match/1764,Mark Jones,Jeff Van Gundy,Jeff Van Gundy,,,,"Mark Jones (Main Commentator), Jeff Van Gundy (Co-commentator)",Indiana Pacers @ Brooklyn Nets,pending,,
2022-04-06 19:00,1649296800.0,Phoenix Suns @ Los Angeles Clippers,Los Angeles Clippers,Phoenix Suns,NBA Regular Season,"ESPN (US), ESPN App (US)",1723.0,https://basketball.icdb.tv/match/1723,Mark Jones,Doris Burke,Doris Burke,,,Jorge Sedano,"Mark Jones (Main Commentator), Doris Burke (Co-commentator), Jorge Sedano (Reporter)",Phoenix Suns @ Los Angeles Clippers,pending,,
