date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators,matchup,status,audio_file
2022-01-14 17:30,1642210200,Cleveland Cavaliers @ San Antonio Spurs,San Antonio Spurs,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,944,https://basketball.icdb.tv/match/944,John Michael,Austin Carr,"Austin Carr, Sean Elliott",Matt Bonner,Dan Weiss,Serena Winters,"John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Dan Weiss (Presenter), Bill Land (Main Commentator), Sean Elliott (Co-commentator), Matt Bonner (Pundit)",,,
2022-01-12 18:00,1642039200,Cleveland Cavaliers @ Utah Jazz,Utah Jazz,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,919,https://basketball.icdb.tv/match/919,Craig Bolerjack,Thurl Bailey,"Thurl Bailey, Holly Rowe, Austin Carr",,,Serena Winters,"Craig Bolerjack (Main Commentator), Thurl Bailey (Co-commentator), Holly Rowe (Co-commentator), John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter)",,,
2022-01-10 19:00,1641870000,Cleveland Cavaliers @ Sacramento Kings,Sacramento Kings,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,890,https://basketball.icdb.tv/match/890,John Michael,Austin Carr,"Austin Carr, Kayte Christensen-Hunter",Kenny Thomas,Kyle Draper,Serena Winters,"John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Kyle Draper (Presenter), Mark Jones (Main Commentator), Kayte Christensen-Hunter (Co-commentator), Kenny Thomas (Pundit)",,,
2022-01-09 17:30,1641778200,Cleveland Cavaliers @ Golden State Warriors,Golden State Warriors,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,876,https://basketball.icdb.tv/match/876,John Michael,Austin Carr,"Austin Carr, Stan Van Gundy, Kelenna Azubuike","Festus Ezeli, Chris Mullin, Dorell Wright",Bonta Hill,"Serena Winters, Dennis Scott","John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Brian Anderson (Main Commentator), Stan Van Gundy (Co-commentator), Dennis Scott (Reporter), Bonta Hill (Presenter), Bob Fitzgerald (Main Commentator), Kelenna Azubuike (Co-commentator), Festus Ezeli (Pundit), Chris Mullin (Pundit), Dorell Wright (Pundit)",,,
2022-01-07 19:00,1641610800,Cleveland Cavaliers @ Portland Trail Blazers,Portland Trail Blazers,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,856,https://basketball.icdb.tv/match/856,John Michael,Austin Carr,"Austin Carr, Lamar Hurd",,,"Serena Winters, Brooke Olzendam","John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Kevin Calabro (Main Commentator), Lamar Hurd (Co-commentator), Brooke Olzendam (Reporter)",,,
2022-01-04 16:00,1641340800,Memphis Grizzlies @ Cleveland Cavaliers,Cleveland Cavaliers,Memphis Grizzlies,NBA Regular Season,Bally Sports Ohio,828,https://basketball.icdb.tv/match/828,John Michael,Austin Carr,"Austin Carr, Michael Wallace",Chris Vernon,,Serena Winters,"John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Rob Fischer (Main Commentator), Michael Wallace (Co-commentator), Chris Vernon (Pundit)",,,
2022-01-02 15:00,1641164400,Indiana Pacers @ Cleveland Cavaliers,Cleveland Cavaliers,Indiana Pacers,NBA Regular Season,"Bally Sports Ohio, NBA TV (US)",785,https://basketball.icdb.tv/match/785,Chris Denari,Quinn Buckner,"Quinn Buckner, Austin Carr",,,"Jeremiah Johnson, Serena Winters","Chris Denari (Main Commentator), Quinn Buckner (Co-commentator), Jeremiah Johnson (Reporter), John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter)",,,
2021-12-31 16:30,1640997000,Atlanta Hawks @ Cleveland Cavaliers,Cleveland Cavaliers,Atlanta Hawks,NBA Regular Season,Bally Sports Ohio,771,https://basketball.icdb.tv/match/771,John Michael,Austin Carr,"Austin Carr, Brad Daugherty, Dominique Wilkins",Brian Oliver,Treavor Scales,Lauren Jbara,"John Michael (Main Commentator), Austin Carr (Co-commentator), Brad Daugherty (Co-commentator), Treavor Scales (Presenter), Tom Werme (Main Commentator), Dominique Wilkins (Co-commentator), Brian Oliver (Pundit), Lauren Jbara (Reporter)",,,
2021-12-30 16:00,1640908800,Cleveland Cavaliers @ Washington Wizards,Washington Wizards,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,769,https://basketball.icdb.tv/match/769,John Michael,Austin Carr,"Austin Carr, Glenn Consor",Tony Massenburg,Wes Hall,,"John Michael (Main Commentator), Austin Carr (Co-commentator), Wes Hall (Presenter), Chris Miller (Main Commentator), Glenn Consor (Co-commentator), Tony Massenburg (Pundit)",,,
2021-12-28 17:00,1640739600,Cleveland Cavaliers @ New Orleans Pelicans,New Orleans Pelicans,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,733,https://basketball.icdb.tv/match/733,Jennifer Hale,Antonio Daniels,"Antonio Daniels, David Wesley, Austin Carr",,Erin Hartigan,Andre Knott,"Erin Hartigan (Presenter), Jennifer Hale (Main Commentator), Antonio Daniels (Co-commentator), David Wesley (Co-commentator), John Michael (Main Commentator), Austin Carr (Co-commentator), Andre Knott (Reporter)",,,
